SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE
RECLTD,REC Limited,EQ,Int Div-Rs.3/- Per Share Purpose Revised,10,04-Jan-10,05-Jan-10,-,-
LITL,Lanco Infratech Limited,EQ,Fv Split Rs.10 To Re.1,1,04-Jan-10,05-Jan-10,-,-
BBOX,Black Box Limited,EQ,Agm/Div-Rs.3.50 Per Share,2,04-Jan-10,-,06-Jan-10,29-Jan-10
AUTOAXLES,Automotive Axles Limited,EQ,Fin Div-Rs.2.70 Per Share,10,11-Jan-10,-,13-Jan-10,15-Jan-10
POWERGRID,Power Grid Corporation of India Limited,EQ,Int Div-Re.0.50 Per Sharepurpose Revised,10,11-Jan-10,12-Jan-10,-,-
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,Agm/Div-Rs.3/- Per Share,1,12-Jan-10,-,14-Jan-10,29-Jan-10
WALCHANNAG,Walchandnagar Industries Limited,EQ,Dividend-Re.1/- Per Share,2,12-Jan-10,-,14-Jan-10,20-Jan-10
BANSWRAS,Banswara Syntex Limited,EQ,Int Div-Rs.1.50 Per Share,5,14-Jan-10,15-Jan-10,-,-
RELIGARE,Religare Enterprises Limited,EQ,Rights 2:3@Prem Rs.345/-,10,15-Jan-10,18-Jan-10,-,-
MASTEK,Mastek Limited,EQ,Int Div-Rs.2/- Per Share Purpose Revised,5,15-Jan-10,18-Jan-10,-,-
SUPREMEIND,Supreme Industries Limited,EQ,Int Div-Rs.5/- Per Share Purpose Revised,2,18-Jan-10,19-Jan-10,-,-
SIEMENS,Siemens Limited,EQ,Dividend-Rs.5/- Per Share,2,19-Jan-10,-,21-Jan-10,29-Jan-10
RML,Rane (Madras) Limited,EQ,Int Div-Rs.2.50 Per Sharepurpose Revised,10,21-Jan-10,23-Jan-10,-,-
WINSOMYARN,Winsome Yarns Limited,EQ,Fv Split Rs.10 To Re.1,1,21-Jan-10,22-Jan-10,-,-
SHPRE,Shree Precoated Steels Limited,EQ,Annual General Meeting,10,21-Jan-10,-,23-Jan-10,30-Jan-10
SEINVEST,S.E. Investments Limited,EQ,Int Div-Re.1/- Per Share Purpose Revised,1,21-Jan-10,22-Jan-10,-,-
NECLIFE,Nectar Lifesciences Limited,EQ,Int Div-Re.0.25 Per Sharepurpose Revised,1,21-Jan-10,22-Jan-10,-,-
IIFL,IIFL Finance Limited,EQ,2nd Int Div-Rs.1.80 Pr Shpurpose Revised,2,25-Jan-10,27-Jan-10,-,-
SHREECEM,SHREE CEMENT LIMITED,EQ,Int Div-Rs.5/- Per Share Purpose Revised,10,25-Jan-10,27-Jan-10,-,-
TVSMOTOR,TVS Motor Company Limited,EQ,Int Div-Re.0.70 Per Sharepurpose Revised,1,25-Jan-10,27-Jan-10,-,-
IPCALAB,IPCA Laboratories Limited,EQ,2nd Int Div-Rs.4/- Pr Shrpurpose Revised,1,27-Jan-10,28-Jan-10,-,-
TCS,Tata Consultancy Services Limited,EQ,3rd Int Div-Rs.2/- Pr Shr,1,27-Jan-10,28-Jan-10,-,-
BIRLANU,BirlaNu Limited,EQ,Int Div-Rs.6/- Per Share,10,27-Jan-10,28-Jan-10,-,-
PRAJIND,Praj Industries Limited,EQ,Int Div-Rs.1.44 Per Sharepurpose Revised,2,28-Jan-10,29-Jan-10,-,-
BAJAJELEC,Bajaj Electricals Limited,EQ,Fv Split Rs.10 To Rs.2,2,28-Jan-10,29-Jan-10,-,-
RBL,Rane Brake Lining Limited,EQ,Int Div-Rs.3/- Per Share Purpose Revised,10,28-Jan-10,29-Jan-10,-,-
